window_size,Machining_Process,best_k,num_windows
10,Layer 1 Down,2,461
10,Layer 1 Up,2,675
10,Layer 2 Down,2,448
10,Layer 2 Up,3,567
10,Layer 3 Down,5,424
10,Layer 3 Up,6,497
20,Layer 1 Down,2,218
20,Layer 1 Up,2,324
20,Layer 2 Down,2,213
20,Layer 2 Up,3,273
20,Layer 3 Down,2,201
20,Layer 3 Up,8,239
30,Layer 1 Down,4,138
30,Layer 1 Up,2,208
30,Layer 2 Down,4,135
30,Layer 2 Up,5,175
30,Layer 3 Down,6,127
30,Layer 3 Up,2,150
