window_size,Machining_Process,num_windows,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,bic,aic,cluster_sizes
30,Layer 1 Down,138,2,0.38478903210372295,1.6823897371153531,42.64182947146173,13547.34518432667,12069.082073322283,"{np.int64(0): np.int64(103), np.int64(1): np.int64(35)}"
30,Layer 1 Down,138,3,0.3933092673546613,1.6994332380986412,30.48956853464288,11516.956229553722,9298.09793620456,"{np.int64(0): np.int64(111), np.int64(1): np.int64(13), np.int64(2): np.int64(14)}"
30,Layer 1 Down,138,4,0.40919309495526834,1.5489368813036,29.167270885057537,10584.190760827772,7624.737285133839,"{np.int64(0): np.int64(103), np.int64(1): np.int64(9), np.int64(2): np.int64(9), np.int64(3): np.int64(17)}"
30,Layer 1 Down,138,5,0.26711662438973305,1.5088544374573065,29.136231768964077,11025.948138486463,7325.899480447755,"{np.int64(0): np.int64(75), np.int64(1): np.int64(6), np.int64(2): np.int64(7), np.int64(3): np.int64(15), np.int64(4): np.int64(35)}"
30,Layer 1 Down,138,6,0.2468593040072217,1.558358694105369,26.004654619217003,10424.99692394771,5984.3530835642305,"{np.int64(0): np.int64(62), np.int64(1): np.int64(6), np.int64(2): np.int64(9), np.int64(3): np.int64(7), np.int64(4): np.int64(38), np.int64(5): np.int64(16)}"
30,Layer 1 Down,138,7,0.2632923984504869,1.4048182330037466,25.62567386488265,10489.35509508005,5308.116072351799,"{np.int64(0): np.int64(60), np.int64(1): np.int64(5), np.int64(2): np.int64(6), np.int64(3): np.int64(7), np.int64(4): np.int64(38), np.int64(5): np.int64(16), np.int64(6): np.int64(6)}"
30,Layer 1 Down,138,8,0.2522507086025602,1.430556785779047,25.48479715866986,10683.552092009068,4761.717886936041,"{np.int64(0): np.int64(58), np.int64(1): np.int64(5), np.int64(2): np.int64(6), np.int64(3): np.int64(35), np.int64(4): np.int64(17), np.int64(5): np.int64(7), np.int64(6): np.int64(8), np.int64(7): np.int64(2)}"
30,Layer 1 Down,138,9,0.26284757001517295,1.3533789211138711,26.21985229767663,10872.902647056439,4210.473259638639,"{np.int64(0): np.int64(56), np.int64(1): np.int64(5), np.int64(2): np.int64(6), np.int64(3): np.int64(33), np.int64(4): np.int64(18), np.int64(5): np.int64(7), np.int64(6): np.int64(8), np.int64(7): np.int64(2), np.int64(8): np.int64(3)}"
30,Layer 1 Up,208,2,0.33923311835107484,1.8860052712753035,51.35341200019499,22560.894754676967,20394.83254095081,"{np.int64(0): np.int64(57), np.int64(1): np.int64(151)}"
30,Layer 1 Up,208,3,0.34731132770803785,2.2513752480845652,35.7796108155892,21521.381430061818,18270.619340432735,"{np.int64(0): np.int64(16), np.int64(1): np.int64(152), np.int64(2): np.int64(40)}"
30,Layer 1 Up,208,4,0.20045606143910039,2.0787478430107234,33.83015983659663,22160.344737291747,17824.882771759738,"{np.int64(0): np.int64(11), np.int64(1): np.int64(106), np.int64(2): np.int64(34), np.int64(3): np.int64(57)}"
30,Layer 1 Up,208,5,0.09858963636497894,2.417979051894725,27.205486453120496,22520.559517922382,17100.397676487442,"{np.int64(0): np.int64(11), np.int64(1): np.int64(41), np.int64(2): np.int64(33), np.int64(3): np.int64(55), np.int64(4): np.int64(68)}"
30,Layer 1 Up,208,6,0.20804193940452664,1.9840681224535477,28.495449296741818,19314.07476999484,12809.213052656974,"{np.int64(0): np.int64(12), np.int64(1): np.int64(18), np.int64(2): np.int64(29), np.int64(3): np.int64(49), np.int64(4): np.int64(86), np.int64(5): np.int64(14)}"
30,Layer 1 Up,208,7,0.21330051189338575,1.8293056058531256,26.84237335563147,19976.68007868938,12387.118485448584,"{np.int64(0): np.int64(12), np.int64(1): np.int64(16), np.int64(2): np.int64(29), np.int64(3): np.int64(49), np.int64(4): np.int64(86), np.int64(5): np.int64(14), np.int64(6): np.int64(2)}"
30,Layer 1 Up,208,8,0.24617032218349713,1.4515586458253529,29.510573675258588,20024.4571823961,11350.195713252375,"{np.int64(0): np.int64(13), np.int64(1): np.int64(97), np.int64(2): np.int64(9), np.int64(3): np.int64(49), np.int64(4): np.int64(11), np.int64(5): np.int64(2), np.int64(6): np.int64(23), np.int64(7): np.int64(4)}"
30,Layer 1 Up,208,9,0.2174382954991998,2.0117084091370825,22.69528304050479,19244.161122863614,9485.199777816963,"{np.int64(0): np.int64(8), np.int64(1): np.int64(95), np.int64(2): np.int64(16), np.int64(3): np.int64(33), np.int64(4): np.int64(11), np.int64(5): np.int64(2), np.int64(6): np.int64(12), np.int64(7): np.int64(4), np.int64(8): np.int64(27)}"
30,Layer 2 Down,135,2,0.3716972571190758,1.7163246504325345,37.17822783947238,12734.126135304445,11394.794462444328,"{np.int64(0): np.int64(32), np.int64(1): np.int64(103)}"
30,Layer 2 Down,135,3,0.37390026564736245,1.7271024689222347,26.670557446495017,11344.261865926119,9333.811719246725,"{np.int64(0): np.int64(8), np.int64(1): np.int64(96), np.int64(2): np.int64(31)}"
30,Layer 2 Down,135,4,0.39758149308542245,1.695391164621706,25.718173537499606,9805.131443317063,7123.562822818392,"{np.int64(0): np.int64(8), np.int64(1): np.int64(96), np.int64(2): np.int64(17), np.int64(3): np.int64(14)}"
30,Layer 2 Down,135,5,0.36076751610826263,1.269428388271379,21.383131552365363,11259.214375301253,7906.527280983306,"{np.int64(0): np.int64(7), np.int64(1): np.int64(96), np.int64(2): np.int64(8), np.int64(3): np.int64(1), np.int64(4): np.int64(23)}"
30,Layer 2 Down,135,6,0.2933427079707234,1.4172387746221433,19.58346925710021,10147.021584820983,6123.2160166837575,"{np.int64(0): np.int64(7), np.int64(1): np.int64(86), np.int64(2): np.int64(8), np.int64(3): np.int64(1), np.int64(4): np.int64(19), np.int64(5): np.int64(14)}"
30,Layer 2 Down,135,7,0.2560947817835087,1.3247305184664462,21.665809172319538,10100.67971261539,5405.755670658889,"{np.int64(0): np.int64(7), np.int64(1): np.int64(64), np.int64(2): np.int64(7), np.int64(3): np.int64(1), np.int64(4): np.int64(17), np.int64(5): np.int64(7), np.int64(6): np.int64(32)}"
30,Layer 2 Down,135,8,0.286920150242864,1.2281520844993272,24.719004790291745,9663.477515403616,4297.434999627836,"{np.int64(0): np.int64(7), np.int64(1): np.int64(64), np.int64(2): np.int64(7), np.int64(3): np.int64(13), np.int64(4): np.int64(7), np.int64(5): np.int64(32), np.int64(6): np.int64(2), np.int64(7): np.int64(3)}"
30,Layer 2 Down,135,9,0.295667565815106,1.2344801769494957,24.08407314726557,10168.651691047853,4131.490701452795,"{np.int64(0): np.int64(7), np.int64(1): np.int64(64), np.int64(2): np.int64(5), np.int64(3): np.int64(12), np.int64(4): np.int64(7), np.int64(5): np.int64(32), np.int64(6): np.int64(2), np.int64(7): np.int64(3), np.int64(8): np.int64(3)}"
30,Layer 2 Up,175,2,0.2822204858517228,2.0529498593124766,30.8875883859103,15526.287796227134,13928.070879395758,"{np.int64(0): np.int64(106), np.int64(1): np.int64(69)}"
30,Layer 2 Up,175,3,0.28365871310477836,1.4721259662872779,38.60205470974209,15740.44710131484,13341.539333080817,"{np.int64(0): np.int64(103), np.int64(1): np.int64(70), np.int64(2): np.int64(2)}"
30,Layer 2 Up,175,4,0.2999059452875848,1.2774895912660407,46.67394034151039,16067.986648675284,12868.388029038611,"{np.int64(0): np.int64(101), np.int64(1): np.int64(45), np.int64(2): np.int64(2), np.int64(3): np.int64(27)}"
30,Layer 2 Up,175,5,0.3218429083494533,1.1927829316810503,48.720596079624684,13726.443236210634,9726.153765171313,"{np.int64(0): np.int64(101), np.int64(1): np.int64(45), np.int64(2): np.int64(2), np.int64(3): np.int64(15), np.int64(4): np.int64(12)}"
30,Layer 2 Up,175,6,0.1561030391620063,1.497503836074025,42.0538173100283,14262.212699993914,9461.232377551944,"{np.int64(0): np.int64(61), np.int64(1): np.int64(44), np.int64(2): np.int64(2), np.int64(3): np.int64(15), np.int64(4): np.int64(41), np.int64(5): np.int64(12)}"
30,Layer 2 Up,175,7,0.16592095106285965,1.5898591322420195,38.907423719110845,13499.20758953624,7897.5364156916185,"{np.int64(0): np.int64(62), np.int64(1): np.int64(39), np.int64(2): np.int64(2), np.int64(3): np.int64(14), np.int64(4): np.int64(40), np.int64(5): np.int64(9), np.int64(6): np.int64(9)}"
30,Layer 2 Up,175,8,0.2827147558537066,1.469580297468425,37.01371451120424,12715.065068117834,6312.703042870565,"{np.int64(0): np.int64(88), np.int64(1): np.int64(30), np.int64(2): np.int64(2), np.int64(3): np.int64(13), np.int64(4): np.int64(15), np.int64(5): np.int64(4), np.int64(6): np.int64(7), np.int64(7): np.int64(16)}"
30,Layer 2 Up,175,9,0.30076838366804937,1.3789133050637674,37.20316027509954,12854.482065588862,5651.429188938943,"{np.int64(0): np.int64(88), np.int64(1): np.int64(31), np.int64(2): np.int64(2), np.int64(3): np.int64(13), np.int64(4): np.int64(15), np.int64(5): np.int64(4), np.int64(6): np.int64(7), np.int64(7): np.int64(12), np.int64(8): np.int64(3)}"
30,Layer 3 Down,127,2,0.24318724406910533,1.897833717246578,24.41338200500787,11431.050645047306,10239.336255821156,"{np.int64(0): np.int64(88), np.int64(1): np.int64(39)}"
30,Layer 3 Down,127,3,0.28969861641032296,1.5670710642033594,30.960608797038635,9949.861137901025,8160.867460518572,"{np.int64(0): np.int64(76), np.int64(1): np.int64(37), np.int64(2): np.int64(14)}"
30,Layer 3 Down,127,4,0.295464320942157,1.56708859452428,26.362478684184072,9455.332811015256,7069.059845476499,"{np.int64(0): np.int64(73), np.int64(1): np.int64(32), np.int64(2): np.int64(14), np.int64(3): np.int64(8)}"
30,Layer 3 Down,127,5,0.2932331232242958,1.471574368161655,26.463167242452254,8605.707685710797,5622.155432015735,"{np.int64(0): np.int64(70), np.int64(1): np.int64(8), np.int64(2): np.int64(14), np.int64(3): np.int64(8), np.int64(4): np.int64(27)}"
30,Layer 3 Down,127,6,0.3051866627245161,1.318084680093779,25.409061358999157,8871.651552175394,5290.820010324028,"{np.int64(0): np.int64(71), np.int64(1): np.int64(8), np.int64(2): np.int64(12), np.int64(3): np.int64(5), np.int64(4): np.int64(27), np.int64(5): np.int64(4)}"
30,Layer 3 Down,127,7,0.30873609075675257,1.3639846920789613,23.474274365140857,7790.455603456902,3612.3447734492324,"{np.int64(0): np.int64(73), np.int64(1): np.int64(8), np.int64(2): np.int64(12), np.int64(3): np.int64(5), np.int64(4): np.int64(17), np.int64(5): np.int64(4), np.int64(6): np.int64(8)}"
30,Layer 3 Down,127,8,0.24015401416300317,1.5024084424762878,21.80937547257149,7072.480165572339,2297.0900474083637,"{np.int64(0): np.int64(67), np.int64(1): np.int64(12), np.int64(2): np.int64(11), np.int64(3): np.int64(7), np.int64(4): np.int64(2), np.int64(5): np.int64(8), np.int64(6): np.int64(6), np.int64(7): np.int64(14)}"
30,Layer 3 Down,127,9,0.23832011337409467,1.4435040311358476,21.052841284195615,7395.987955882289,2023.3185495620087,"{np.int64(0): np.int64(67), np.int64(1): np.int64(13), np.int64(2): np.int64(11), np.int64(3): np.int64(7), np.int64(4): np.int64(2), np.int64(5): np.int64(7), np.int64(6): np.int64(4), np.int64(7): np.int64(12), np.int64(8): np.int64(4)}"
30,Layer 3 Up,150,2,0.4300880973682238,1.5705736218774167,36.54691753124581,13989.183136747884,12468.812313229275,"{np.int64(0): np.int64(19), np.int64(1): np.int64(131)}"
30,Layer 3 Up,150,3,0.40325419404327967,1.3397461897146004,28.674047168906853,13121.939998712645,10839.878445787685,"{np.int64(0): np.int64(17), np.int64(1): np.int64(127), np.int64(2): np.int64(6)}"
30,Layer 3 Up,150,4,0.40444145622818417,1.3306264262550642,25.553919537682617,12008.728190190366,8964.97590785905,"{np.int64(0): np.int64(9), np.int64(1): np.int64(126), np.int64(2): np.int64(6), np.int64(3): np.int64(9)}"
30,Layer 3 Up,150,5,0.26120940375833324,1.4139614444396187,31.524202846791948,11706.00529620659,7900.562284468923,"{np.int64(0): np.int64(9), np.int64(1): np.int64(65), np.int64(2): np.int64(5), np.int64(3): np.int64(9), np.int64(4): np.int64(62)}"
30,Layer 3 Up,150,6,0.2478181039409363,1.4613196509520616,23.95253386924181,12066.885306391901,7499.751565247881,"{np.int64(0): np.int64(9), np.int64(1): np.int64(65), np.int64(2): np.int64(1), np.int64(3): np.int64(10), np.int64(4): np.int64(56), np.int64(5): np.int64(9)}"
30,Layer 3 Up,150,7,0.2525716539709315,1.3729200372878478,22.540118034264214,12843.844732658934,7515.02026210856,"{np.int64(0): np.int64(10), np.int64(1): np.int64(65), np.int64(2): np.int64(1), np.int64(3): np.int64(7), np.int64(4): np.int64(56), np.int64(5): np.int64(9), np.int64(6): np.int64(2)}"
30,Layer 3 Up,150,8,0.28767611552622263,1.2902577306561438,24.042339887990266,11683.865784804671,5593.350584847947,"{np.int64(0): np.int64(9), np.int64(1): np.int64(9), np.int64(2): np.int64(4), np.int64(3): np.int64(44), np.int64(4): np.int64(8), np.int64(5): np.int64(68), np.int64(6): np.int64(5), np.int64(7): np.int64(3)}"
30,Layer 3 Up,150,9,0.29426573036128967,1.2092184380620918,22.34314839270941,12243.827525213761,5391.621595850685,"{np.int64(0): np.int64(9), np.int64(1): np.int64(9), np.int64(2): np.int64(4), np.int64(3): np.int64(42), np.int64(4): np.int64(8), np.int64(5): np.int64(68), np.int64(6): np.int64(5), np.int64(7): np.int64(3), np.int64(8): np.int64(2)}"
