window_size,Machining_Process,num_windows,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,bic,aic,cluster_sizes
10,Layer 2 Down,448,9,0.20633237453593287,1.3350422158621202,70.67580453751026,39300.0855708312,26337.148542864677,"{np.int64(0): np.int64(198), np.int64(1): np.int64(20), np.int64(2): np.int64(26), np.int64(3): np.int64(6), np.int64(4): np.int64(72), np.int64(5): np.int64(16), np.int64(6): np.int64(1), np.int64(7): np.int64(22), np.int64(8): np.int64(87)}"
10,Layer 2 Up,567,2,0.2275701917799248,2.6715673734578647,56.63744423185466,53076.980438126346,50034.388566213194,"{np.int64(0): np.int64(170), np.int64(1): np.int64(397)}"
10,Layer 2 Up,567,3,0.28388390495252736,1.7494025228251917,93.92340203606088,52829.99458716829,48263.936599646695,"{np.int64(0): np.int64(149), np.int64(1): np.int64(416), np.int64(2): np.int64(2)}"
10,Layer 2 Up,567,4,0.2677606214647546,2.0532896099201228,78.40685767562523,49183.53509777585,43094.01099464581,"{np.int64(0): np.int64(69), np.int64(1): np.int64(81), np.int64(2): np.int64(2), np.int64(3): np.int64(415)}"
10,Layer 2 Up,567,5,0.31958248478161116,1.6817733015959078,103.95229709487616,48277.627792935,40664.637574196524,"{np.int64(0): np.int64(29), np.int64(1): np.int64(70), np.int64(2): np.int64(2), np.int64(3): np.int64(362), np.int64(4): np.int64(104)}"
10,Layer 2 Up,567,6,0.3374870202824793,1.6760729867792887,104.164900248735,49637.49530156378,40501.03896721686,"{np.int64(0): np.int64(27), np.int64(1): np.int64(28), np.int64(2): np.int64(2), np.int64(3): np.int64(372), np.int64(4): np.int64(102), np.int64(5): np.int64(36)}"
10,Layer 2 Up,567,7,0.24610282750008758,1.8855817406841557,96.08415116446635,46176.21282664797,35516.29037669262,"{np.int64(0): np.int64(20), np.int64(1): np.int64(79), np.int64(2): np.int64(2), np.int64(3): np.int64(311), np.int64(4): np.int64(80), np.int64(5): np.int64(40), np.int64(6): np.int64(35)}"
10,Layer 2 Up,567,8,0.23781172816929178,1.95203866759039,88.05911642256717,47994.94308942756,35811.55452386376,"{np.int64(0): np.int64(4), np.int64(1): np.int64(84), np.int64(2): np.int64(2), np.int64(3): np.int64(312), np.int64(4): np.int64(12), np.int64(5): np.int64(28), np.int64(6): np.int64(23), np.int64(7): np.int64(102)}"
10,Layer 2 Up,567,9,0.2353054576855098,1.745933635872668,82.8475817031932,48494.82267102277,34787.96798985053,"{np.int64(0): np.int64(2), np.int64(1): np.int64(86), np.int64(2): np.int64(2), np.int64(3): np.int64(307), np.int64(4): np.int64(4), np.int64(5): np.int64(29), np.int64(6): np.int64(20), np.int64(7): np.int64(106), np.int64(8): np.int64(11)}"
10,Layer 3 Down,424,2,0.3356944479771813,1.9071601522466815,71.8732292181664,44035.46356750978,40977.914808809655,"{np.int64(0): np.int64(334), np.int64(1): np.int64(90)}"
