window_size,nmi_finalized,nmi_inspection_finished_only,nmi_tool_condition,n_finalized_samples,n_inspection_samples,n_tool_samples
10,0.17369669360118728,0.2020506339374706,0.06351959157273199,18,14,14
20,0.210868867676779,0.05871169293285745,0.13660742991190414,18,14,14
30,0.17670261227948195,0.20998249627124752,0.1690245086529958,18,14,14
