window_size,nmi_finalized,nmi_inspection_finished_only,nmi_tool_condition,n_finalized_samples,n_inspection_samples,n_tool_samples
10,0.7238747148076699,0.15983487842986963,0.008561931719345226,18,14,14
20,0.5462063603580982,0.2020506339374706,0.06351959157273199,18,14,14
30,0.6948182184224202,0.34332395374322017,0.042360699369791345,18,14,14
