window_size,Machining_Process,num_windows,som_x,som_y,num_neurons,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_sizes
20,Layer 2 Down,213,3,1,3,0.3197289667201079,1.87531034539474,39.8154566741793,"{np.int64(0): np.int64(13), np.int64(1): np.int64(52), np.int64(2): np.int64(148)}"
20,Layer 2 Down,213,4,1,4,0.3107094905241498,1.5773152549448093,48.121005436312906,"{np.int64(0): np.int64(16), np.int64(1): np.int64(17), np.int64(2): np.int64(127), np.int64(3): np.int64(53)}"
20,Layer 2 Down,213,2,2,4,0.3107094905241498,1.5773152549448093,48.121005436312906,"{np.int64(0): np.int64(17), np.int64(1): np.int64(127), np.int64(2): np.int64(16), np.int64(3): np.int64(53)}"
20,Layer 2 Up,273,2,1,2,0.5033931095912181,2.1036998758809364,21.236136906288955,"{np.int64(0): np.int64(13), np.int64(1): np.int64(260)}"
20,Layer 2 Up,273,3,1,3,0.4442909003112865,1.485268055632119,40.1561059375665,"{np.int64(0): np.int64(25), np.int64(1): np.int64(11), np.int64(2): np.int64(237)}"
20,Layer 2 Up,273,4,1,4,0.3126352913575356,1.2631339038466507,64.08966514492688,"{np.int64(0): np.int64(70), np.int64(1): np.int64(22), np.int64(2): np.int64(2), np.int64(3): np.int64(179)}"
20,Layer 2 Up,273,2,2,4,0.3141282610094628,1.2455597282398223,65.98979121468356,"{np.int64(0): np.int64(178), np.int64(1): np.int64(25), np.int64(2): np.int64(2), np.int64(3): np.int64(68)}"
20,Layer 3 Down,201,2,1,2,0.4473410177771619,1.8637376535202632,38.28380612452048,"{np.int64(0): np.int64(175), np.int64(1): np.int64(26)}"
20,Layer 3 Down,201,3,1,3,0.3192343426213882,1.6452540536810123,42.68139930820582,"{np.int64(0): np.int64(13), np.int64(1): np.int64(53), np.int64(2): np.int64(135)}"
20,Layer 3 Down,201,4,1,4,0.30255009878806977,1.5327289385211302,38.5911090674603,"{np.int64(0): np.int64(44), np.int64(1): np.int64(135), np.int64(2): np.int64(12), np.int64(3): np.int64(10)}"
20,Layer 3 Down,201,2,2,4,0.30255009878806977,1.5327289385211302,38.5911090674603,"{np.int64(0): np.int64(44), np.int64(1): np.int64(12), np.int64(2): np.int64(135), np.int64(3): np.int64(10)}"
20,Layer 3 Up,239,2,1,2,0.4247052157749376,1.9033602479973468,50.933327943642205,"{np.int64(0): np.int64(200), np.int64(1): np.int64(39)}"
20,Layer 3 Up,239,3,1,3,0.2757933293307669,1.6131811088400259,48.46972197402262,"{np.int64(0): np.int64(27), np.int64(1): np.int64(166), np.int64(2): np.int64(46)}"
20,Layer 3 Up,239,4,1,4,0.2777404609892372,1.544205130664665,46.71430700643209,"{np.int64(0): np.int64(24), np.int64(1): np.int64(126), np.int64(2): np.int64(73), np.int64(3): np.int64(16)}"
20,Layer 3 Up,239,2,2,4,0.2697043402639205,1.5868139713987508,45.497250129869826,"{np.int64(0): np.int64(126), np.int64(1): np.int64(23), np.int64(2): np.int64(71), np.int64(3): np.int64(19)}"
30,Layer 1 Down,138,2,1,2,0.40318525225638674,1.6504233387333684,42.009109130731005,"{np.int64(0): np.int64(108), np.int64(1): np.int64(30)}"
30,Layer 1 Down,138,3,1,3,0.2536777880543429,1.5693696195873716,33.982691565072166,"{np.int64(0): np.int64(34), np.int64(1): np.int64(78), np.int64(2): np.int64(26)}"
30,Layer 1 Down,138,4,1,4,0.251447847545894,1.7132022505884588,30.683634396343262,"{np.int64(0): np.int64(10), np.int64(1): np.int64(18), np.int64(2): np.int64(35), np.int64(3): np.int64(75)}"
30,Layer 1 Down,138,2,2,4,0.2530795752699692,1.6404939903852587,29.845630736779697,"{np.int64(0): np.int64(9), np.int64(1): np.int64(20), np.int64(2): np.int64(36), np.int64(3): np.int64(73)}"
30,Layer 1 Up,208,2,1,2,0.3554464454839353,1.7912136496991835,55.79776462545427,"{np.int64(0): np.int64(155), np.int64(1): np.int64(53)}"
30,Layer 1 Up,208,3,1,3,0.2023191295197055,1.7361597294556315,41.90122595113604,"{np.int64(0): np.int64(110), np.int64(1): np.int64(54), np.int64(2): np.int64(44)}"
30,Layer 1 Up,208,4,1,4,0.20917952008544288,2.039851026199318,34.27086623967043,"{np.int64(0): np.int64(31), np.int64(1): np.int64(16), np.int64(2): np.int64(59), np.int64(3): np.int64(102)}"
30,Layer 1 Up,208,2,2,4,0.21564046809103019,1.727263779235295,36.82921080634715,"{np.int64(0): np.int64(16), np.int64(1): np.int64(98), np.int64(2): np.int64(39), np.int64(3): np.int64(55)}"
30,Layer 2 Down,135,2,1,2,0.3686932262026501,1.7540433555557173,34.8885427945833,"{np.int64(0): np.int64(104), np.int64(1): np.int64(31)}"
30,Layer 2 Down,135,3,1,3,0.2504535663671172,1.6900925115952672,30.06219880670751,"{np.int64(0): np.int64(24), np.int64(1): np.int64(83), np.int64(2): np.int64(28)}"
30,Layer 2 Down,135,4,1,4,0.24119652897259408,1.6493008461747187,27.864864608138628,"{np.int64(0): np.int64(21), np.int64(1): np.int64(8), np.int64(2): np.int64(39), np.int64(3): np.int64(67)}"
30,Layer 2 Down,135,2,2,4,0.27401052927147335,1.586758199202558,29.490304329760907,"{np.int64(0): np.int64(33), np.int64(1): np.int64(74), np.int64(2): np.int64(14), np.int64(3): np.int64(14)}"
30,Layer 2 Up,175,2,1,2,0.4251087785579152,1.6635450088374077,31.626260199976834,"{np.int64(0): np.int64(154), np.int64(1): np.int64(21)}"
30,Layer 2 Up,175,3,1,3,0.40222821025600725,1.2954377077295056,42.574188681901695,"{np.int64(0): np.int64(30), np.int64(1): np.int64(143), np.int64(2): np.int64(2)}"
30,Layer 2 Up,175,4,1,4,0.29502051903050047,1.298196567034995,44.909288685597666,"{np.int64(0): np.int64(21), np.int64(1): np.int64(102), np.int64(2): np.int64(50), np.int64(3): np.int64(2)}"
30,Layer 2 Up,175,2,2,4,0.29502051903050047,1.298196567034995,44.909288685597666,"{np.int64(0): np.int64(102), np.int64(1): np.int64(21), np.int64(2): np.int64(50), np.int64(3): np.int64(2)}"
30,Layer 3 Down,127,2,1,2,0.39820473882780294,1.7774516287009696,31.92196594427569,"{np.int64(0): np.int64(25), np.int64(1): np.int64(102)}"
30,Layer 3 Down,127,3,1,3,0.39150672849736023,1.5840985477654168,26.355014581397104,"{np.int64(0): np.int64(11), np.int64(1): np.int64(103), np.int64(2): np.int64(13)}"
30,Layer 3 Down,127,4,1,4,0.2886692144209476,1.5262106819718944,27.414965116115695,"{np.int64(0): np.int64(8), np.int64(1): np.int64(26), np.int64(2): np.int64(77), np.int64(3): np.int64(16)}"
30,Layer 3 Down,127,2,2,4,0.2848942974265421,1.6092654252781098,26.145988689416743,"{np.int64(0): np.int64(77), np.int64(1): np.int64(28), np.int64(2): np.int64(6), np.int64(3): np.int64(16)}"
30,Layer 3 Up,150,2,1,2,0.4300880973682238,1.5705736218774167,36.54691753124581,"{np.int64(0): np.int64(19), np.int64(1): np.int64(131)}"
30,Layer 3 Up,150,3,1,3,0.2279093183221497,1.5590854888012318,35.91019893305821,"{np.int64(0): np.int64(19), np.int64(1): np.int64(64), np.int64(2): np.int64(67)}"
30,Layer 3 Up,150,4,1,4,0.24647669984738826,1.3704802350272054,32.02540661017176,"{np.int64(0): np.int64(4), np.int64(1): np.int64(18), np.int64(2): np.int64(55), np.int64(3): np.int64(73)}"
30,Layer 3 Up,150,2,2,4,0.225452848048451,1.8669013015156386,26.691834755670605,"{np.int64(0): np.int64(76), np.int64(1): np.int64(15), np.int64(2): np.int64(48), np.int64(3): np.int64(11)}"
