window_size,nmi_finalized,nmi_inspection_finished_only,nmi_tool_condition,n_finalized_samples,n_inspection_samples,n_tool_samples
10,0.46784210079667693,0.35994801516350183,0.21143537493660292,18,14,14
20,0.46784210079667693,0.35994801516350183,0.21143537493660292,18,14,14
30,0.38165852628876973,0.53944260085964,0.2605037180693005,18,14,14
